ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Conseil
"116";"Cravate Deluxe Gryffondor avec pin's";"CR1111";"11.99";"24.95";"2.08";"42.3%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"117";"Cravate Deluxe Serpentard avec pin's";"CR1112";"11.95";"24.95";"2.09";"42.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"118";"Cravate Deluxe Serdaigle avec pin's";"CR1113";"11.99";"24.95";"2.08";"42.3%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"119";"Cravate Deluxe Poufsouffle avec pin's";"CR1114";"11.99";"24.95";"2.08";"42.3%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"121";"Set Enfant Gants Tactiles & Bonnet - Serpentard";"CR1322";"11.00";"24.95";"2.27";"47.1%";"19.90";"19.90";"19.90";"-";"-";"19.90";"-";"Trop cher (Baisser !)"
"122";"Set Enfant Gants Tactiles & Bonnet - Serdaigle";"CR1323";"11.00";"24.95";"2.27";"47.1%";"19.90";"19.90";"19.90";"-";"-";"19.90";"-";"Trop cher (Baisser !)"
"123";"Set Enfant Gants Tactiles & Bonnet - Poufsouffle";"CR1324";"11.00";"24.95";"2.27";"47.1%";"19.90";"19.90";"19.90";"-";"-";"19.90";"-";"Trop cher (Baisser !)"
"124";"Bonnet à pompom - Poufsouffle";"CR1334";"8.40";"19.95";"2.38";"49.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"126";"Bonnet à pompon - Serpentard";"CR1332";"8.40";"19.95";"2.38";"49.5%";"20.00";"20.90";"20.45";"20.90";"-";"20.00";"-";"RAS"
"127";"Bonnet à pompon - Serdaigle";"CR1333";"8.40";"19.95";"2.38";"49.5%";"20.00";"20.90";"20.45";"20.90";"-";"20.00";"-";"RAS"
"134";"Robe de Quidditch personnalisable (enfants) - Gryffondor";"CR1221KIDS";"39.95";"89.95";"2.25";"46.7%";"69.90";"69.90";"69.90";"69.90";"-";"-";"-";"Trop cher (Baisser !)"
"135";"Robe de Quidditch personnalisable (enfants) - Serpentard";"CR1222KIDS";"39.95";"89.95";"2.25";"46.7%";"69.90";"69.90";"69.90";"69.90";"-";"-";"-";"Trop cher (Baisser !)"
"136";"Ensemble de 55 stickers Harry Potter";"CR5200";"2.80";"5.95";"2.13";"43.5%";"8.90";"8.90";"8.90";"8.90";"-";"-";"0.00";"Opportunité (Augmenter !)"
"137";"Pré-au-Lard - Les Trois Balais - puzzle 3D";"W3D1012";"18.99";"37.95";"2.00";"40.0%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Marge faible (Vérifier)"
"138";"Porte-clés Reliques de la mort";"EKH0054";"5.95";"12.99";"2.18";"45.0%";"11.90";"12.99";"12.60";"11.90";"12.99";"12.90";"-";"Marge faible (Vérifier)"
"142";"Poster - Undesirable  No.1 Harry Potter";"HPP11";"4.81";"14.99";"3.12";"61.5%";"17.00";"17.00";"17.00";"-";"-";"17.00";"-";"Opportunité (Augmenter !)"
"147";"Poster - Eeylops Owl Emporium";"HPP01";"7.15";"14.99";"2.10";"42.8%";"12.99";"17.00";"15.00";"-";"12.99";"17.00";"-";"Marge faible (Vérifier)"
"149";"Journal - Gryffondor House";"HJ12";"3.61";"9.95";"2.76";"56.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"151";"Journal - A History of Magic";"HJ08";"7.82";"19.99";"2.56";"53.1%";"20.00";"20.00";"20.00";"-";"-";"20.00";"-";"RAS"
"152";"Journal - Poudlard : A History";"HJ06";"7.82";"19.99";"2.56";"53.1%";"32.99";"32.99";"32.99";"-";"32.99";"-";"-";"Opportunité (Augmenter !)"
"153";"Journal - Poufsouffle House";"HJ13";"3.61";"9.95";"2.76";"56.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"156";"Journal - Serdaigle House";"HJ14";"3.61";"9.95";"2.76";"56.5%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
