"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"search","google","Longjumeau",8,12
"search","google","Mulhouse",11,12
"social","instagram","Brie-Comte-Robert",8,12
"search","google","Noumea",12,12
"search","google","Bihorel",8,12
"direct",,"Asnières-sur-Seine",10,12
"search","google","Champigny-sur-Marne",12,12
"social","facebook","Pantin",4,12
"social","instagram","Boulogne-Billancourt",10,12
"direct",,"São Mateus",12,12
"direct",,"Santa Cruz do Sul",12,12
"direct",,"São João del Rei",12,12
"direct",,"Tashkent",12,12
"search","google","Saint-Cyr-l'École",9,12
"social","facebook","Yvetot",10,12
"search","bing","Paris",12,12
"direct",,"Olímpia",12,12
"direct",,"Teresópolis",11,11
"search","google","Cherbourg",11,11
"direct",,"Guaratinguetá",11,11
"search","google","Dunkirk",8,11
"direct",,"Boulogne-sur-Mer",10,11
"direct",,"Seclin",2,11
"direct",,"Hyderabad",11,11
"direct",,"Calgary",11,11
"search","google","L'Haÿ-les-Roses",4,11
"direct",,"Dammam",11,11
"direct",,"Guarujá",11,11
"social","instagram","Hayange",8,11
"direct",,"Santa Maria da Vitória",11,11
"search","google","Cléon",11,11
"direct",,"New Delhi",11,11
"search","google","Bron",11,11
"direct",,"Uberaba",11,11
"direct",,"Philadelphia",11,11
"social","instagram","Fréjus",9,11
"social","instagram","Brussels",11,11
"social","instagram","Beauvais",9,11
"direct",,"Angra dos Reis",11,11
"direct",,"Saint-Paul",4,11
"direct",,"Guaíra",11,11
"social","facebook","Calais",5,11
"social","facebook","Avignon",9,11
"direct",,"Mérignac",9,11
"direct",,"Brionne",2,11
"direct",,"Bangkok",11,11
"social","facebook","Angoulême",10,11
"direct",,"Santarém",11,11
"search","google","Chartres",10,11
"direct",,"Montivilliers",4,11
"direct",,"La Chapelle-Saint-Luc",1,11
"search","google","Annecy",11,11
"social","instagram","Dunkirk",6,11
"direct",,"Puebla City",11,11
"direct",,"León",11,11
"direct",,"Diamantina",11,11
"search","qwant",,8,11
"direct",,"Mossoró",11,11
"social","instagram","Nanterre",10,11
"search","google","Buchy",5,11
"direct",,"Nogent-sur-Marne",1,11
"direct",,"Itabuna",11,11
"direct",,"Anápolis",11,11
"direct",,"Lausanne",7,11
"social","instagram","Trosly-Breuil",5,11
"search","google","Bayonne",10,11
"social","instagram","Vénissieux",9,11
"search","google","Clichy",11,11
"direct",,"Bắc Giang",11,11
"social","facebook","Bastia",6,11
"direct",,"Parauapebas",11,11
"direct",,"Volgograd",3,11
"search","google","Compiègne",10,11
"search","google","Maisons-Alfort",9,10
"direct",,"Nova Friburgo",10,10
"search","google","Grand-Couronne",8,10
"search","google","Luxembourg",10,10
"direct",,"Maracaibo",10,10
"direct",,"Toulon",8,10
"direct",,"Bento Gonçalves",10,10
"direct",,"Portland",10,10
"search","google","Denain",10,10
"search","google","Bruay-la-Buissière",8,10
"direct",,"Barueri",10,10
"social","facebook","Montreuil",10,10
"search","google","Geneva",10,10
"direct",,"Ubatuba",10,10
"direct",,"Phoenix",10,10
"direct",,"Lavras",10,10
"social","facebook","Pessac",7,10
"direct",,"Taubaté",10,10
"social","instagram","Bois-Guillaume",5,10
"social","instagram","Mérignac",7,10
"direct",,"Morelia",10,10
"direct",,"Qingyuan",10,10
"social","instagram","Poitiers",9,10
"direct",,"Santiago de los Caballeros",10,10
"social","instagram","Angoulême",8,10
"social","instagram","Yvetot",7,10
"direct",,"Cariacica",10,10
"direct",,"Valenciennes",5,10
"direct",,"Itapevi",10,10
"social","facebook","Chalon-sur-Saône",8,10
"direct",,"Pontoise",2,10
"direct",,"Charleville-Mézières",6,10
"social","facebook","St-Malo",7,10
"direct",,"Cuenca",10,10
"search","google","Douai",7,10
"social","facebook","Fréjus",10,10
"direct",,"Cachoeirinha",10,10
"social","facebook","Bourg-en-Bresse",5,10
"direct",,"Alvorada",10,10
"direct",,"Tarbes",4,10
"direct",,"Itabira",10,10
"search","google","Colmar",10,10
"direct",,"Sapucaia do Sul",10,10
"direct",,"Pune",10,10
"social","instagram","Le Grand-Quevilly",9,10
"search","google","Puteaux",9,10
"search","google","Fontenay-sous-Bois",8,10
"search","google","Papeete",9,10
"search","google","Hérouville-Saint-Clair",9,10
"social","facebook","Chambéry",6,10
"direct",,"Hayange",2,10
"social","instagram","Lieuvillers",2,10
"direct",,"Valença",10,10
"direct",,"Santana do Livramento",10,10
"social","instagram","Lens",8,10
"direct",,"Geneva",7,10
"direct",,"Guadalajara",9,10
"social","instagram","Pau",9,10
"search","google","Blois",10,10
"social","instagram","Maisons-Alfort",10,10
"search","google","Gretz-Armainvilliers",9,10
"social","facebook","Annecy",5,10
"social","facebook","Nîmes",10,10
"search","google","Tarbes",10,10
"direct",,"Rondonópolis",10,10
"direct",,"Tatuí",10,10
"direct",,"Valencia",10,10
"search","google","Saint-Paul",9,10
"email","gmail",,8,10
"direct",,"Guipavas",1,10
"direct",,"Sapiranga",10,10
"social","facebook","Hyères",5,10
"search","google","Pessac",9,9
"search","google","Mandres",6,9
"social","facebook","Perpignan",9,9
"direct",,"Santa Rosa",9,9
"search","google","Croix",9,9
"direct",,"Ankara",9,9
"search","google","Saintes",8,9
"social","instagram","Villemomble",6,9
"search","google","Chauny",4,9
"direct",,"Bolbec",4,9
"direct",,"Portoviejo",9,9
"direct",,"São Pedro",9,9
"direct",,"Xangri-lá",9,9
"direct",,"Guanambi",9,9
"social","facebook","Compiègne",8,9
"direct",,"Santa Clara",8,9
"direct",,"Porto Velho",9,9
"direct",,"Sartrouville",7,9
"direct",,"Hodenc-en-Bray",1,9
"direct",,"Volta Redonda",9,9
"search","google","Les Mureaux",7,9
"social","instagram","Douai",6,9
"direct",,"Vĩnh Long",9,9
"social","instagram","Mont-de-Marsan",4,9
"social","instagram","Niort",7,9
"social","facebook","Lisieux",5,9
"direct",,"Passos",9,9
"direct",,"Marolles",2,9
"search","google","Neuilly-sur-Seine",8,9
"direct",,"Araruama",9,9
"direct",,"North York",9,9
"social","instagram","Mont-Saint-Aignan",5,9
"search","google","Gaillon",8,9
"social","instagram","Bayonne",7,9
"direct",,"Ubá",9,9
"direct",,"Saint-Pierre-Eynac",8,9
"direct",,"Itapetininga",9,9
"direct",,"Saint-Cyr-l'École",5,9
"search","google","Pont-Audemer",9,9
"social","instagram","Guyancourt",7,9
"social","facebook","Bron",6,9
"social","facebook","Boulogne-sur-Mer",6,9
"direct",,"Guatemala City",9,9
"social","instagram","Bondy",9,9
"direct",,"Glendale",9,9
"direct",,"Araraquara",9,9
"unknown","mesenvies","Le Grand-Quevilly",9,9
"social","instagram","Smarves",1,9
"social","instagram","Sartrouville",9,9
"search","google","Saint-Quentin",6,9
"direct",,"Teixeira de Freitas",9,9
"social","facebook","Valence",9,9
"direct",,"Jaraguá do Sul",9,9
"social","instagram","Lisieux",5,9
"social","facebook","Mont-de-Marsan",5,9
"direct",,"Forest City",9,9
"direct",,"Boos",5,9
"social","facebook","Elbeuf",7,9
