"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"143";"Poster - Wanted Bellatrix Lestrange";"Posters";"N/A";"7.15";"Inconnu";"";"14.99";"0.200";"HPP10";"";"0.00";"";"14013";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_143.jpg";"4";"Papeterie > Posters";"0.00";""
"144";"Poster - Quidditch  World Cup";"Posters";"N/A";"7.15";"Inconnu";"";"14.99";"0.200";"HPP03";"";"0.00";"";"14012";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_144.jpg";"13";"Papeterie > Posters";"0.00";""
"145";"Poster - Proclamation 31";"Posters";"N/A";"7.15";"Inconnu";"";"14.99";"0.200";"HPP02";"";"0.00";"";"14011";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_145.jpg";"0";"Papeterie > Posters";"0.00";""
"146";"Lot de magnets - Ministry of Magic Wanted Posters";"Décorations";"N/A";"9.50";"Inconnu";"";"19.99";"0.200";"IHPM03";"";"11.99";"";"14010";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_146.jpg";"0";"Maison et accessoires > Décorations";"0.00";""
"147";"Poster - Eeylops Owl Emporium";"Posters";"N/A";"7.15";"Inconnu";"";"14.99";"0.200";"HPP01";"";"0.00";"";"14009";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_147.jpg";"13";"Papeterie > Posters";"0.00";""
"148";"Lot de magnets - Ministry of Magic Proclamations";"Décorations";"N/A";"9.50";"Inconnu";"";"19.99";"0.200";"IHPM04";"";"10.00";"";"14008";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_148.jpg";"0";"Maison et accessoires > Décorations";"0.00";""
"149";"Journal - Gryffondor House";"Carnets";"N/A";"3.61";"MinaLima";"";"9.95";"0.200";"HJ12";"";"5.00";"";"14007";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_149.jpg";"0";"Papeterie > Carnets";"0.00";""
"150";"Journal - Les Animaux fantastiques";"Carnets";"N/A";"7.82";"MinaLima";"";"19.99";"0.200";"HJ09";"";"0.00";"";"14006";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_150.jpg";"9";"Papeterie > Carnets";"0.00";""
"151";"Journal - A History of Magic";"Carnets";"N/A";"7.82";"MinaLima";"";"19.99";"0.200";"HJ08";"";"0.00";"";"14005";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_151.jpg";"2";"Papeterie > Carnets";"0.00";""
"152";"Journal - Poudlard : A History";"Carnets";"N/A";"7.82";"MinaLima";"";"19.99";"0.200";"HJ06";"";"0.00";"";"14004";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_152.jpg";"16";"Papeterie > Carnets";"0.00";""
