"Code-barres";"id";"id Déclinaison";"Libellé";"Déclinaison";"Ref. fournisseur";"Point de vente";"Prix de vente";"Prix soldé";"Prix d'achat HT";"points +";"points -"
"5060425403249";"236";"0";"Poster Zouwu";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425403256";"237";"0";"Poster Atlas of Celestial Anomalies";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425403263";"238";"0";"Poster La Tour Eiffel";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425403683";"239";"0";"Blind Pig Poster";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425403515";"240";"0";"Newt Scamander Wanted Poster - Carte de voeux";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
"5060425403676";"241";"0";"Newt Scamander Wanted Poster";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060425401337";"242";"0";"Journal - Advanced Potion-Making - Edition II";"";"";"0";"19.99";"0.00";"0.00";"0";"0"
"5055583410239";"243";"0";"Collier Niffleur";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"3760166560066";"245";"0";"Cravate - Gryffondor";"";"";"0";"14.95";"0.00";"0.00";"0";"0"
"3760166567157";"247";"0";"Echarpe - Gryffondor pourpre et or";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"812370014217";"248";"0";"Baguette de Xenophilius Lovegood";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"849421002718";"249";"0";"Coupe de Dumbledore";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"812370010035";"250";"0";"Retourneur de temps";"";"";"0";"59.95";"0.00";"0.00";"0";"0"
"812370010257";"251";"0";"Seigneur des anneaux - Bougeoir de La Lórien";"";"";"0";"109.95";"0.00";"0.00";"0";"0"
"812370016914";"252";"0";"Dard™ - Epée lumineuse de Bilbo";"";"";"0";"164.95";"0.00";"0.00";"0";"0"
"812370016617";"253";"0";"Clé de Thorin et carte";"";"";"0";"34.95";"0.00";"0.00";"0";"0"
"849421004569";"254";"0";"Botruc articulé";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"849421002350";"256";"0";"Targaryen porte-clés (gris-chrome)";"";"";"0";"11.95";"0.00";"0.00";"0";"0"
"849421002138";"257";"0";"Targaryen pendentif - replique";"";"";"0";"14.90";"0.00";"0.00";"0";"0"
"849421006051";"261";"0";"Réplique Chocogrenouille";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"849421006761";"262";"0";"Niffleur - Peluche interactive";"";"";"0";"37.50";"0.00";"0.00";"0";"0"
"849421003623";"263";"0";"Baguette magique boîte Ollivander Seraphina Picquery";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"849421005085";"264";"0";"Pendentif de Grindelwald Gellert - Collection";"";"";"0";"59.95";"0.00";"0.00";"0";"0"
"812370011100";"265";"0";"Stylo de collection - Serdaigle";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"849421002572";"266";"0";"Stylo de collection - Gryffondor";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"812370011117";"267";"0";"Stylo de collection - Poufsouffle";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"849421004484";"268";"0";"Puzzle - Evasion de la banque Gringotts";"";"";"0";"24.90";"0.00";"0.00";"0";"0"
"849421004491";"269";"0";"Puzzle - Carte du Maraudeur";"";"";"0";"24.90";"0.00";"0.00";"0";"0"
"849421004507";"270";"0";"Puzzle - Les enseignes du Chemin de Traverse";"";"";"0";"24.90";"0.00";"0.00";"0";"0"
"849421004590";"271";"0";"Puzzle - Les Détraqueurs à Poudlard";"";"";"0";"24.90";"0.00";"0.00";"0";"0"
"849421004637";"272";"0";"Petite peluche Fumseck le Phénix";"";"";"0";"24.95";"0.00";"0.00";"0";"0"
