"id";"Libellé";"En ligne";"Catégorie";"Marque";"Type de déclinaison";"Déclinaison";"id Déclinaison";"Code-barres";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Prix soldé";"points +";"points -";"La Muchette"
"227";"Moule à Chocogrenouille en chocolat + 6 boîtes Chocogrenouille + 12 cartes de sorciers";"1";"Cuisine";"";"0";"";"0";"CR4018";"12.45";"";"";"24.95";"0.200";"0.00";"0";"0";"3"
"228";"Bannière Murale Serpentard";"1";"Décorations";"";"0";"";"0";"CR2132";"8.25";"";"";"19.95";"0.200";"0.00";"0";"0";"0"
"229";"Bannière Murale Serdaigle";"1";"Décorations";"";"0";"";"0";"CR2133";"8.25";"";"";"19.95";"0.200";"0.00";"0";"0";"0"
"230";"Bannière Murale Poufsouffle";"1";"Décorations";"";"0";"";"0";"CR2134";"8.25";"";"";"19.95";"0.200";"0.00";"0";"0";"0"
"232";"Bannière Murale Gryffondor";"1";"Décorations";"";"0";"";"0";"CR2131";"8.25";"";"";"19.95";"0.200";"0.00";"0";"0";"0"
"234";"Poster Le Cirque Arcanus";"1";"Posters";"";"0";"";"0";"IF2POC02";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"235";"Poster Oni Oni";"1";"Posters";"";"0";"";"0";"IF2POC03";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"237";"Poster Atlas of Celestial Anomalies";"1";"Posters";"";"0";"";"0";"F2POG01";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"238";"Poster La Tour Eiffel";"1";"Posters";"";"0";"";"0";"F2POM02";"7.15";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"239";"Blind Pig Poster";"1";"Posters";"";"0";"";"0";"FBP01";"7.60";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"240";"Newt Scamander Wanted Poster - Carte de voeux";"1";"Cartes";"";"0";"";"0";"FBCARD03";"2.28";"MinaLima";"";"4.95";"0.200";"0.00";"0";"0";"4"
"241";"Newt Scamander Wanted Poster";"1";"Posters";"";"0";"";"0";"FBP02";"7.60";"";"";"14.99";"0.200";"0.00";"0";"0";"0"
"242";"Journal - Advanced Potion-Making - Edition II";"1";"Carnets";"";"0";"";"0";"HJ05";"7.82";"MinaLima";"";"19.99";"0.200";"0.00";"0";"0";"9"
"247";"Echarpe - Gryffondor pourpre et or";"1";"Echarpes";"";"0";"";"0";"CR1001";"9.50";"";"";"22.00";"0.200";"0.00";"0";"0";"4"
