ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Confiance;Conseil
"173";"Lot de 20 cartes postales - Ministry of Magic";"HPC07";"5.41";"15.99";"2.96";"59.4%";"15.99";"19.99";"18.20";"16.90";"15.99";"19.90";"19.99";"0.78";"RAS"
"175";"Lot de 20 cartes postales - la série Poudlard";"HPC05";"5.41";"15.99";"2.96";"59.4%";"15.99";"19.99";"18.20";"16.90";"15.99";"19.90";"19.99";"0.91";"RAS"
"176";"Lot de 20 cartes postales - The Weasleys' Wizard Wheezes Series";"HPC06";"5.41";"15.99";"2.96";"59.4%";"15.99";"19.90";"17.60";"16.90";"15.99";"19.90";"-";"0.77";"RAS"
"177";"Carte de voeux - Daily Prophet - Harry Potter Undesirable  No-1";"HPCARD11";"2.28";"4.95";"2.17";"44.7%";"4.90";"5.00";"4.96";"4.90";"4.99";"5.00";"-";"0.82";"Marge faible (Vérifier)"
"178";"Carte de voeux lenticulaire Harry Potter - Have you seen this wizard?";"HPCARD16";"2.28";"4.95";"2.17";"44.7%";"4.99";"5.90";"5.30";"5.90";"4.99";"5.00";"-";"0.67";"Marge faible (Vérifier)"
"179";"Carte de voeux lenticulaire - New Headmaster for Poudlard";"HPCARD14";"2.28";"4.95";"2.17";"44.7%";"4.99";"5.90";"5.30";"5.90";"4.99";"5.00";"-";"0.69";"Marge faible (Vérifier)"
"180";"Carte 2 volets livre Advanced Potion-Making - Edition II";"HPCARD20";"2.28";"4.95";"2.17";"44.7%";"5.00";"5.00";"5.00";"-";"-";"5.00";"-";"0.68";"Marge faible (Vérifier)"
"181";"Carte 2 volets Poudlard: A History";"HPCARD24";"2.28";"4.95";"2.17";"44.7%";"4.90";"4.99";"4.95";"4.90";"4.99";"-";"-";"0.74";"Marge faible (Vérifier)"
"182";"Carte 2 volets Eeylop's Owl Emporium";"HPCARD30";"2.28";"4.95";"2.17";"44.7%";"5.00";"5.00";"5.00";"-";"-";"5.00";"-";"0.94";"Marge faible (Vérifier)"
"184";"Carte 2 volets Ticket Poudlard";"HPCARD29";"2.28";"4.95";"2.17";"44.7%";"4.90";"5.00";"4.96";"4.90";"4.99";"5.00";"-";"0.67";"Marge faible (Vérifier)"
"185";"Carte 2 volets Carte du Maraudeur";"HPCARD28";"2.28";"4.95";"2.17";"44.7%";"4.90";"5.99";"5.22";"4.90";"5.99";"5.00";"5.00";"0.74";"Marge faible (Vérifier)"
"186";"Carte 2 volets Les Animaux Fantastiques";"HPCARD25";"2.28";"4.95";"2.17";"44.7%";"4.90";"5.00";"4.96";"4.90";"4.99";"-";"5.00";"0.76";"Marge faible (Vérifier)"
"187";"Carte 2 volets Blason de Poudlard";"HPCARD31";"2.28";"4.95";"2.17";"44.7%";"4.90";"5.00";"4.96";"4.90";"4.99";"5.00";"-";"0.71";"Marge faible (Vérifier)"
"188";"Carte de voeux lenticulaire Mass Breakout From Azkaban";"HPCARD32";"2.28";"4.95";"2.17";"44.7%";"4.99";"5.90";"5.30";"5.90";"4.99";"5.00";"-";"0.84";"Marge faible (Vérifier)"
"189";"Carte de voeux lenticulaire Bellatrix Lestrange Wanted";"HPCARD33";"2.28";"4.95";"2.17";"44.7%";"5.00";"6.99";"5.96";"5.90";"6.99";"5.00";"-";"0.89";"Marge faible (Vérifier)"
